,title,no,ID,nick,content,date,like,dislike
0,혈투,5,(snug****),순수,애비가 뭔가 있어보이게 연출하려 한거 같은데 도박에 딸 팔아먹는 쓰레기로밖에 안보이네,2021-03-24 14:52,0,0
1,혈투,5,(swim****),할로윈,혈투 2는 연재 안하나요?,2021-03-24 14:52,0,0
2,혈투,5,(rick****),rick,"딸을 처 걸더니, 3판 하자고 똥폼 잡고, 지고, 세월 흘렀으면 딸내미 온갖 성폭행 다 당했을거고; 아 못 보겠다",2021-03-24 14:52,0,0
3,혈투,5,(ca36****),Quartz,밑에사람 그래서 시작을 페미들.. 이런 이유는?그냥 저 시대상이 저러니까 작가님 욕하지 말자 이러면 되는거지 자기 딸을 건게 지금보면 당연히 이상한 사람인데 무슨ㅋㅋ,2021-03-24 14:52,0,0
4,혈투,5,(ckda****),대문,"페미들... 그냥 그때 조선의 상황은 안타깝게도 여자가 탄압받던 시기였음... 아무리 이게 보기 싫다 해도 틀린 말이 아니고 그때 과거의 단면을 보여주는거니까.. 나도 마음이 아프지만 이건 그냥 아 당시 여성들이 불쌍하다... 안타깝다... 라고 생각만 하고 댓글 달고, 다음화 보는게 맞는거임. 작가님을 욕할게아니라...그리고 이건 과거의 아픈 역사라고 이해하고 지식으로 받아들이는게 옳은 길이에요.",2021-03-24 14:52,0,0
5,혈투,5,(kale****),kal,눈깔이 죽은 애비랑 똑닮았네,2021-03-24 14:52,0,0
6,혈투,5,(jinn****),요플레몽,작가님 군대가셔서 다음화 없는듯하네요;;,2021-03-24 14:52,0,0
7,혈투,5,(jinn****),요플레몽,징용 소집서? 문화정치 시기인가보네요..,2021-03-24 14:52,0,0
8,혈투,5,(sdy1****),치토,이게 왜 또 뜬겨,2021-03-24 14:52,0,0
9,혈투,5,(lsod****),laiwn,딸걸고 지는데다 눈도잃는 작가 스토리or네이버 인성뭐가 더 엿같을까,2021-03-24 14:52,0,0
10,혈투,5,(0628****),R06,18ㅈ같은 네이버 여러분 구글에 늑대닷컴 검색해서 무료로 다 보세요!!!,2021-03-24 14:52,0,0
11,혈투,5,(sovl****),LondonGeoJi,OOO들이 뭘 돈주고봐 ㅡㅡ 중간에 연재 짤라버린 작품을 미친거 아니야 네이버????,2021-03-24 14:52,0,0
12,혈투,5,(gusd****),,이거 갑자기 왜 안나옴?,2021-03-24 14:52,0,0
13,혈투,5,(12-s****),김성록,다음화,2021-03-24 14:52,0,0
14,혈투,5,(bria****),김민수,다음화어딨니,2021-03-24 14:52,0,0
15,혈투,5,(psw1****),꺼부기꼬부기,ㅇㅇ,2019-10-31 05:02,1,0
16,혈투,5,(qejd****),미호,2번째 정주행으로 다시보니까 택견에도 안경씌우기가 있는데 왜..,2019-10-31 05:02,1,0
17,혈투,5,(mals****),posman,주인공쌈졸라 잘하게 젠틀한것처럼하더니 초밥이네,2019-10-31 05:02,1,0
18,혈투,5,(kdie****),36,페미한녀충 만화에 또 악플보소ㅋㅋㅋㅋ 한심 그자체ㅋㅋㅋㅋㅋㅋ,2019-10-31 05:02,1,0
19,혈투,5,(kwon****),iloveyou,상대가 누구든 자만하면 ㅈ되는거임. 특히 저런 OOO은 철저하게 짓밟아야됨,2019-10-31 05:02,1,0
20,혈투,5,(swee****),MIMI,내용저질....,2019-10-31 05:02,1,0
21,혈투,5,(free****),행복,망웹이군 여기까지 시마이,2019-10-31 05:02,1,0
22,혈투,5,(rksw****),,아니 아무리 싸움에 자신이있다해도 딸을 내기에 거냐 ....딸이 소유물도 아니고... 그냥 불편하네 좀...시대 상 이라고해도 부모마음은 같을껀데...,2019-10-31 05:02,1,0
23,혈투,5,(jhj6****),공복왔다,아니 인파이터는 좀... 그 때 저런말 썼음?,2019-10-31 05:02,1,0
24,혈투,5,(dust****),dd,네이버 수준 진짜 ㅋㅋㅋ 딸 걸었다고 ㅋㅋㅋㅋ,2019-10-31 05:02,1,0
25,혈투,5,(sunx****),쟈미스,저때는 여자가 그냥 물건 취급인데 왜이리 꼴값들이지,2019-10-31 05:02,1,0
26,혈투,5,(kno3****),허구연해설클태극혐,이 웹툰은 3화까지만 보고 안보는게 답인듯 ㅋㅋ 5화까지 보다 열불나서 손절 한다 ㅅㄱ,2019-10-31 05:02,1,0
27,혈투,5,(251f****),쥬드아시터,ㅇㅏ쪽바리한테 털린거 발암이네,2019-10-31 05:02,1,0
28,혈투,5,(bull****),김윤수,페미들 씹역겹네 진짜 ㅋㅋㅋ,2019-10-31 05:02,1,0
29,혈투,5,(ka90****),둥그,눈알을 빼갔어..,2019-10-31 05:02,1,0
30,혈투,5,(hanj****),,작가가 쪽** 헐...,2018-12-10 19:17,1,3
31,혈투,5,(anst****),,작가가선택을 잘못한게뭐냐면아니그많고많은전개중에 하필이면 지금연재되고있는이나라가 대한민국이란것을 알면서도 초반전개를 일본과엮어서 물없이고구마1000개쳐먹은것같은 상황을연출한것이다..작가를비하하는것은아니지만같은전개로갈수있는 다른상황들도 충분히많았을것을 왜하필 이런장면으로연출했나.. 이곳이 한국이란것을알면서 ....대부분의 독자들이 전부 다 현자이지않은건 누구보다잘알텐데요 ㅠㅠ 생각보다너무큰고구마에충분히흥행할수있는수의 독자분들 일부분이빠져나갔을듯..,2018-12-10 19:17,1,3
32,혈투,5,(qkra****),박민제,전편이랑 1번째 베댓이 똑같아서 렉 걸린줄 알았네,2018-12-10 19:17,1,3
33,혈투,5,(kgwb****),Luinedhel,헉.....,2018-12-10 19:17,1,3
34,혈투,5,(eve8****),,아부지가 핑쉰이네,2018-12-10 19:17,1,3
35,혈투,5,(smc8****),땡칠,아 못보겠다 개연성도 없고 고구마100개 체한듯한 느낌 ㅃㅃ2,2018-12-10 19:17,1,3
36,혈투,5,(jame****),jameshunt,"와... 이제 내가 이만화 보나봐라... 오바도 정도껏해야지 작가님아. 딸 걸고 지고, 눈까지 멀어버리니",2018-12-10 19:17,1,3
37,혈투,5,(teen****),신의손,이시절엔 두한이형님도 계시고 시라소니 전설도 있는데 그분들 모셔와라,2018-12-10 19:17,1,3
38,혈투,5,(ierr****),비슈누,어째 양반이 은행원 10달치 월급도 없어서 딸을건거야?,2018-12-10 19:17,1,3
39,혈투,5,(gust****),오늘을위해준비했다,열받아서 못보겠네 하차,2018-12-10 19:17,1,3
40,혈투,5,(nona****),Piaoyuchun,예상했던 전개로 흘러가는군,2018-12-10 19:17,1,3
41,혈투,5,(alin****),전국의장득춘,그림체는 좋은데 스토리 개 ㅈ같아서 안봄 ㅅㄱ,2018-12-10 19:17,1,3
42,혈투,5,(bass****),김실장,센징 특유의 병맛을 잘그려냈네.아직도 그렇게 당하고도 북한퍼주는거 보면 정신 못차림.,2018-12-10 19:17,1,3
43,혈투,5,(youk****),냥이집사,18안봐,2018-12-10 19:17,1,3
44,혈투,5,(wnsd****),CRIMINAL HUNTER,오카모토 저새끼가 나쁜새낀맞는데 말빨 조건걸자는건 동등하게하잔거였고 싸움에 반칙은없었다 거시기찬것도 아녔고,2018-12-10 19:17,1,3
