,title,no,ID,nick,content,date,like,dislike
0,겨울동화,13,(asdf****),asd,2021,2021-01-09 16:05,0,0
1,겨울동화,13,(maxb****),max,진짜 좋다,2021-01-09 16:05,0,0
2,겨울동화,13,(pyon****),물렁루즈,아직도 보시는분?,2021-01-09 16:05,0,0
3,겨울동화,13,(sooo****),soo,진짜 10분 만에 다 봤지만(정주행) 너무 좋은 웹툰이다,2021-01-09 16:05,0,0
4,겨울동화,13,(fsin****),하지my새끼야,2020년에 정주행 하시는 분🙆,2021-01-09 16:05,0,0
5,겨울동화,13,(ll29****),이재용,24,2021-01-09 16:05,0,0
6,겨울동화,13,(tall****),OO,후...작가의말......😭,2021-01-09 16:05,0,0
7,겨울동화,13,(ahst****),mastermode,2019 완주,2021-01-09 16:05,0,0
8,겨울동화,13,(matg****),다이렘,내가함,2021-01-09 16:05,0,0
9,겨울동화,13,(star****),매운맛,내가할거야,2021-01-09 16:05,0,0
10,겨울동화,13,(ruki****),겨울비,↓ 아닌데요!,2021-01-09 16:05,0,0
11,겨울동화,13,(qwer****),232신용등급,19년 막댓,2021-01-09 16:05,0,0
12,겨울동화,13,(1403****),신칸센대탈선슛,2019년첫댓,2021-01-09 16:05,0,0
13,겨울동화,13,(1403****),신칸센대탈선슛,막댓은 나다,2021-01-09 16:05,0,0
14,겨울동화,13,(mys0****),맹영숙,단행본 나오면 바로 지르겠습니다,2021-01-09 16:05,0,0
15,겨울동화,13,(ksm0****),서월,ㅣㅡㄱㄴㅇ,2017-08-18 21:56,2,0
16,겨울동화,13,(sjh9****),신지혜,다시봐도 좋다....,2017-08-18 21:56,2,0
17,겨울동화,13,(dsa1****),강우주,페리크림아 작가님맘이지 니맘이가~,2017-08-18 21:56,2,0
18,겨울동화,13,(rlaq****),봄숭이,수고하셨어요 정말 이쁘고 마음 따뜻한 웹툰이였어요,2017-08-18 21:56,2,0
19,겨울동화,13,(zo42****),홍유짱짱,"작가님, 앞으로도 좋은 웹툰 많이 만들어 주시면 감사하겠습니다.작가님, 수고하셨어요.",2017-08-18 21:56,2,0
20,겨울동화,13,(zpdl****),,진짜 최고다 이 웹툰은,2017-08-18 21:56,2,0
21,겨울동화,13,(viih****),해바라기,상상력을 돋구는 작품이었어요. 뭔가 시적이면서 동화적이고 추상적이기도한 작품이었습니다. 몰아서 한번에 봤네요. 감사합니다.,2017-08-18 21:56,2,0
22,겨울동화,13,(okok****),정아민,이 글을 보시면 자기가 사랑하는 사람과 가까워 진대데요 저도 저번에 고백 3번 받았어요 이 글을 보시고 바로 끄시면 안되구요 5번 올리셔야 되요 만약 그냥 무시하고 끄시면 새벽 3시 28분 18.24초에파란물체가 보일거에요 그게 바로귀신인데요 널귀롭고 뾰족한 도끼로 죽인데요....ㅈㅅ저도 무시어서 퍼옴 죄송합니다!!ㅜㅜ,2017-08-18 21:56,2,0
23,겨울동화,13,(bied****),비단,여름에는여드름겨울에는겨드름,2017-08-18 21:56,2,0
24,겨울동화,13,(cara****),푸른언덕,좋다아,2017-08-18 21:56,2,0
25,겨울동화,13,(choc****),정지윤,이거 처음보는데...나온지 많이 됐는데 왜 안보였던거지암튼 명작,2017-08-18 21:56,2,0
26,겨울동화,13,(heaz****),마린블루,근데 책으로 안나오는거에요 ....??ㅠㅠ,2017-08-18 21:56,2,0
27,겨울동화,13,(heaz****),마린블루,진짜...끝까지 작가의 말..ㅠㅠㅋㅋㅋ,2017-08-18 21:56,2,0
28,겨울동화,13,(dus7****),zzzgz,잘 보았습니다. 단행본으로 나온다면 소장하고 싶네요,2017-08-18 21:56,2,0
29,겨울동화,13,(kdep****),김도은,여름엔 여드름 겨울엔 겨드름,2017-08-18 21:56,2,0
30,겨울동화,13,(sy04****),정현,작가의 말ㅋㅋ,2015-11-24 20:32,0,0
31,겨울동화,13,(qkvl****),,이런 만화를 많은 사람이 모르는 것이 슬프네요. 이렇게 끝나기는 너무 아쉬운 웹툰인듯.,2015-11-24 20:32,0,0
32,겨울동화,13,(moni****),최인영,차가워,2015-11-24 20:32,0,0
